slug,zh,en,scope,note
shared.mon,周一,Mon,shared,weekday full form context differs; see weekday.*_full for iOS repeatLabel
shared.tue,周二,Tue,shared,
shared.wed,周三,Wed,shared,
shared.thu,周四,Thu,shared,
shared.fri,周五,Fri,shared,
shared.sat,周六,Sat,shared,
shared.sun,周日,Sun,shared,
shared.efficient_secretary,高效秘书,Efficient Secretary,shared,"存储值不翻译,仅展示层映射"
shared.gentle_companion,温柔陪伴,Gentle Companion,shared,"存储值不翻译,仅展示层映射"
shared.strict_coach,严格教练,Strict Coach,shared,"存储值不翻译,仅展示层映射"
shared.playful_witty,幽默轻松,Playful & Witty,shared,"存储值不翻译,仅展示层映射"
shared.like_a_sharp_executive_assistant,"像一位干练的行政秘书:简洁、专业、直接,不说废话。","Like a sharp executive assistant: concise, professional, and direct—no fluff.",shared,
shared.warm_and_caring_like_a_friend_who_looks,"语气温柔体贴,像关心你的朋友,多一点鼓励。","Warm and caring, like a friend who looks out for you—extra encouraging.",shared,
shared.like_a_disciplined_coach_direct_and,"像自律教练:直接有推动力,催促按时完成,语气可以严厉但保持尊重。","Like a disciplined coach: direct and motivating, pushes you to finish on time, can be firm but stays respectful.",shared,
shared.light_and_funny_a_bit_playful_makes,"轻松幽默,偶尔调皮,让提醒不那么无聊。","Light and funny, a bit playful—makes reminders less boring.",shared,
shared.default,默认,Default,shared,
shared.custom,自定义,Custom,shared,
shared.tongyi_qianwen,通义千问,Tongyi Qianwen,shared,存储值不翻译
shared.zhipu,智谱,Zhipu,shared,存储值不翻译
shared.chinese_yuan,人民币,Chinese Yuan,shared,
shared.us_dollar,美元,US Dollar,shared,
shared.euro,欧元,Euro,shared,
shared.japanese_yen,日元,Japanese Yen,shared,
shared.british_pound,英镑,British Pound,shared,
shared.hong_kong_dollar,港币,Hong Kong Dollar,shared,
shared.south_korean_won,韩元,South Korean Won,shared,
shared.australian_dollar,澳元,Australian Dollar,shared,
shared.canadian_dollar,加元,Canadian Dollar,shared,
shared.singapore_dollar,新加坡元,Singapore Dollar,shared,
shared.swiss_franc,瑞士法郎,Swiss Franc,shared,
shared.thai_baht,泰铢,Thai Baht,shared,
shared.ai_personality,AI 个性,AI Personality,shared,
shared.ai_assistant,AI 助手,AI Assistant,shared,
shared.ai_thinking,AI 思考,AI Thinking,shared,
shared.ai_service,AI 服务,AI Service,shared,
shared.ai_memory,AI 记忆,AI Memory,shared,
shared.task_content,事项内容,Task content,shared,
shared.ok,好,OK,shared,
shared.todo,待办,Todo,shared,
shared.done,已完成,Done,shared,
shared.endpoint_chat_completions,接口地址(…/chat/completions),Endpoint (…/chat/completions),shared,
shared.describe_the_ai_s_tone_e_g_like_a_wuxia,"描述 AI 的说话风格,例如:像武侠小说里的师父","Describe the AI's tone, e.g. like a wuxia master",shared,
shared.reminders,提醒,Reminders,shared,
shared.undo,撤销,Undo,shared,
shared.reschedule,改期,Reschedule,shared,
shared.no_tasks_yet,暂无待办事项,No tasks yet,shared,
shared.no_memory_yet_the_ai_fills_this_in,"暂无记忆;AI 会在事项完成后自动归纳,也可以直接在这里手写。","No memory yet; the AI fills this in automatically after tasks are completed, or you can write it yourself.",shared,
shared.upcoming,未来待办,Upcoming,shared,
shared.this_week_s_insight,本周洞察,This Week's Insight,shared,
shared.add,添加,Add,shared,
shared.add_a_time,添加时间点,Add a time,shared,
shared.web_search,联网搜索,Web Search,shared,
shared.settings,设置,Settings,shared,
shared.skip,跳过,Skip,shared,
shared.ok_2,确定,OK,shared,
shared.confirm,确认执行,Confirm,shared,
shared.reset_memory,重置记忆,Reset Memory,shared,
shared.cancel,取消,Cancel,shared,
shared.e_g_move_to_tomorrow_8pm,例如:改到明天晚上8点,e.g. move to tomorrow 8pm,shared,
shared.apply_changes,应用修改,Apply Changes,shared,
ios_view.the_ai_summarizes_type_typical_duration,"AI 会在事项完成后归纳""类型 → 典型时长"",新建没说时长的事项时据此建议。","The AI summarizes ""type → typical duration"" after tasks are completed, and suggests a duration for new tasks that don't specify one.",ios_view,
ios_view.ai_preferences,AI 偏好,AI Preferences,ios_view,
ios_view.ai_filled,AI 已填写,AI-filled,ios_view,
ios_view.the_ai_tags_items_automatically_when,"AI 整理收藏时会自动打标签,也可以在上面手动创建。",The AI tags items automatically when organizing them; you can also create tags manually above.,ios_view,
ios_view.the_ai_prefers_reusing_these_tags_when,AI 整理新收藏时会优先复用这里的标签。,The AI prefers reusing these tags when organizing new items.,ios_view,
ios_view.ai_settings,AI 设置,AI Settings,ios_view,
ios_view.agent_md_is_the_general_rules_todo,"agent.md 是总则,待办/记忆是可分别编辑的技能;编辑会直接改变发给 AI 的指令,重置可恢复默认。",agent.md is the general rules; todo/memory are separately editable skills. Edits directly change the instructions sent to the AI; reset restores the defaults.,ios_view,
ios_view.next,下一步,Next,ios_view,
ios_view.never,不重复,Never,ios_view,
ios_view.medium,中,Medium,ios_view,
ios_view.contact,人脉,Contact,ios_view,
ios_view.when_to_run,什么时候跑,When to run,ios_view,
ios_view.today,今天待办,Today,ios_view,
ios_view.no_tasks_today,今天暂无待办,No tasks today,ios_view,
ios_view.choose_from_memory,从记忆库选择,Choose from Memory,ios_view,
ios_view.bulk_import_from_contacts,从通讯录批量导入,Bulk import from Contacts,ios_view,
ios_view.import_from_contacts,从通讯录选择导入,Import from Contacts,ios_view,
ios_view.task,任务,Task,ios_view,
ios_view.task_name_e_g_today_s_outfit,任务名(如:今日穿搭),Task name (e.g. Today's outfit),ios_view,
ios_view.this_is_tagged_contact_automatically,"会自动打上「人脉」标签,记忆列表默认不显示,筛选里选中「人脉」才会看到。","This is tagged ""Contact"" automatically; hidden from the memory list by default, shown only when you filter for ""Contact"".",ios_view,
ios_view.this_is_tagged_asset_automatically,"会自动打上「资产」标签,记忆列表默认不显示,筛选里选中「资产」才会看到,并在顶部汇总总额。","This is tagged ""Asset"" automatically; hidden from the memory list by default, shown only when you filter for ""Asset"", and summed at the top.",ios_view,
ios_view.low,低,Low,ios_view,
ios_view.standing_preferences_you_ve_mentioned,"你在对话里说过的长期要求(如「以后开会都留一小时」)会被 AI 自动记在这里,之后每轮对话都会带上。","Standing preferences you've mentioned in chat (like ""always leave an hour for meetings"") are recorded here automatically and included in every future conversation.",ios_view,
